Author_Standardized,Paper_Count
"Elliott, G",2
"Meller, B",2
"Menz, J",2
"Choi, S",2
"Mertens, T",2
"Messner, T",2
"Meyer, B",2
"Michail, N",2
"Mishra, A",2
"Moreno, A",2
"Nasir, M",2
"Kilian, L",2
"Hariadi, M",2
"Nelson, C",2
"Nelson, E",2
"Nilsiam, Y",2
"Engle, R",2
"Nugroho, S",2
"Bianchi, F",2
"Orphanides, A",2
"Adämmer, P",2
"Padzil, S",2
"Paloviita, M",2
"Papadopoulou, N",2
"Pedersen, M",2
"Mansoorian, A",2
"Perez, D",2
"Hartmann, M",2
"Petroulas, P",2
"Pfajfar, D",2
"Pillay, K",2
"Amano, R",2
"Pirotte, A",2
"Plante, M",2
"Kim, C",2
"Ptak-Chmielewska, A",2
"Ramos-Herrera, M",2
"Ravie, T",2
"Ersoy, M",2
"Huber, J",2
"Robinson, W",2
"Roldan-Blanco, P",2
"Ross, K",2
"Conflitti, C",2
"Zhou, X",2
"Bleaney, M",2
"Rusiadi, R",2
"Rötheli, T",2
"Saadah, S",2
"Sadorsky, P",2
"Gillman, M",2
"Salter, A",2
"Zhu, Y",2
"Santoro, S",2
"Savva, C",2
"Scharler, J",2
"Schenkelberg, H",2
"Cordes, H",2
"Schüssler, R",2
"Sekhposyan, T",2
"Coricelli, F",2
"Shiller, R",2
"Shubik, M",2
"Sill, K",2
"Zimmer, H",2
"Breitenlechner, M",2
"Sinha, P",2
"Smets, F",2
"Smith, B",2
"Corradi, V",2
"Smith, J",2
"Fabo, B",2
"Sohn, B",2
"Sosvilla Rivero, S",2
"Spiegel, M",2
"Fadejeva, L",2
"Sun, J",2
"Sunder, S",2
"Suparti, S",2
"Haug, A",2
"van Dijk, H",2
"Thomakos, D",2
"Timmermann, A",2
"Tiwari, A",2
"Jiang, C",2
"Tunç, K",2
"Ubide, A",2
"Urga, G",2
"Uribe, M",2
"VanHoose, D",2
"Vlaar, P",2
"Végh Gramont, C",2
"Végh, C",2
"Wallis, K",2
"Glas, A",2
"Kang, K",2
"Warne, A",2
"Watzka, S",2
"Kantor, B",2
"Wei, M",2
"West, K",2
"Wieland, E",2
"Williams, J",2
"Wouters, R",2
"Gneiting, T",2
"Xu, Y",2
"Yang, Z",2
"Yates, A",2
"Yetman, J",2
"Akgun, O",2
"Budiastuti, I",2
"Zaman, S",2
"Faust, J",2
"Zerom, D",2
"Zhang, H",2
"Lippi, M",2
"Hur, J",2
"Zhang, M",2
"Zhang, S",2
"Kapetanios, G",2
"Zhang, Y",2
"Zhao, Z",2
"Binner, J",1
"Binz, O",1
"Biswal, B",1
"Biswas, S",1
"Blackburn, K",1
"Bo, L",1
"Boero, G",1
"Bonomo, M",1
"Bostan, I",1
"Boyd, J",1
"Branston, J",1
"Brickman, L",1
"Brillembourg, A",1
"Britton, A",1
"Brocato, J",1
"Broda, C",1
"Brubakk, L",1
"Bruine de Bruin, W",1
"Brumm, H",1
"Bruna, K",1
"Bryan, M",1
"Brys, G",1
"Budianita, E",1
